Command,Battery Consumption (%)
takeoff,5
forward,0.9955385428631209
left,0.8307846677707791
forward,0.8231243065050317
left,0.8223008539316042
cw,1.394297063521924
forward,1.1827134487847701
forward,1.1113403509933373
ccw,1.551673226656486
down,1.0084347376693759
cw,1.4257368676135287
forward,0.9223689814831054
forward,1.1931360572996883
forward,1.1181708336480798
flip,1.6524576554868953
cw,1.545793440582231
down,1.3972919727174795
forward,1.0442980981697667
cw,1.6064856895896928
back,1.1051908026462836
back,0.9238970563423581
ccw,1.542833990474181
back,0.8107728460564421
left,0.927369140744229
back,0.9623653581091023
right,1.0409566035587188
right,1.1494807367223312
left,0.8571905978704984
down,1.1480951791023324
left,1.0774321143891439
ccw,1.6099636669327724
left,0.8098516336551511
down,1.0309845602524272
right,1.117253743481734
down,1.1569325704247284
left,0.8481525992230783
ccw,1.425348554747737
cw,1.65806920308406
left,1.0104401857430672
back,1.0227381323458384
flip,2.4784690595585417
forward,1.0637774440105436
ccw,1.5065567296885654
flip,1.7804961207473675
right,1.1781056434365493
forward,1.1547413553595178
flip,2.1623192735138455
cw,1.5982899011406373
back,0.9616983250322785
down,1.1623977084909205
flip,1.6450764819783508
flip,1.8296159354305879
cw,1.5498871978295221
forward,1.0472876662456605
forward,1.1577781808550356
ccw,1.395607253299566
left,1.0717849134222
left,0.8026229733918654
back,1.183896495016692
flip,1.8909711987924105
ccw,1.6283408890086921
ccw,1.5917615711706854
left,0.9868310171189422
ccw,1.383356841051366
forward,1.1050170125411987
back,0.9140861141095752
flip,1.926964919514581
left,0.9754189886865543
right,0.8139402590298491
flip,2.1861983343845064
down,1.1156949813321169
ccw,1.3526200199149478
back,1.0908579041552537
ccw,1.55166897685615
flip,1.8345121586214939
left,1.0224696632798145
down,1.112881063317885
down,1.2262096813575103
ccw,1.5741729570974554
left,1.0697947263712768
land,3
