Command,Battery Consumption (%)
takeoff,4
back,0.8447476828581725
forward,0.9419250695933903
right,0.9487762802308977
forward,0.907044457109649
down,1.3265152419372406
flip,1.8937301880322437
ccw,1.5039939604209291
down,1.1790806122487651
forward,0.8251664514990251
down,1.093813015574618
cw,1.3401188603304601
right,1.1292259263715292
forward,0.8663378266478043
right,1.0393374586850275
cw,1.5653315185470316
ccw,1.3258616949614945
flip,1.9212399745038233
ccw,1.4582690614923386
ccw,1.4127038114076147
down,1.020428184377114
flip,2.1591357838359118
cw,1.4893991771709898
left,1.0143220493631178
back,1.1630426441268118
left,1.0945368795999202
left,0.813966283026626
right,0.9999562389509464
left,0.9997083352344168
down,1.1877049758690597
back,0.8123316197465704
back,0.8903906045807598
down,1.1016662140320232
right,0.8689095564125612
cw,1.5186975487672816
left,1.006802973719727
right,1.127173548118018
down,1.1217535737978808
right,1.0766145497180672
flip,2.4598631046722947
cw,1.4223835490015326
right,1.0073401441652385
right,0.8734974531389957
flip,2.3259064446015243
down,1.0327264826307783
left,0.8542902417755139
ccw,1.3631696139202962
right,0.8522105281382533
right,1.050385366841587
back,0.8035773632342894
down,1.1199853714201122
back,0.9529857239439985
flip,2.3358903226709904
down,1.143008503459743
down,1.225224206074449
forward,0.8986299028067833
left,0.9252345901449234
flip,1.6350487564239917
cw,1.5678062321172859
left,0.9486699941819714
right,0.9645535820013134
flip,1.8769307096548027
right,0.8743219907860854
forward,0.876544984603225
cw,1.3871745499520827
down,1.2600330676082332
down,1.1961845466665593
down,1.2079230236263059
flip,2.068636642526813
forward,1.0290251488481577
right,0.9225156649752342
forward,0.9832034859253368
back,1.0220572218772839
down,1.2837964752847861
left,1.117518153011772
flip,1.9456880778913024
right,1.0732825907620258
flip,2.409131735958823
cw,1.6391760850587636
down,1.296835906825405
back,0.9499243917248725
land,2
