Command,Battery Consumption (%)
takeoff,4
ccw,1.380706344352721
left,0.8198025035162462
forward,1.0405686880638039
down,1.1459121143695845
back,0.9776363527036934
left,1.023058465663083
forward,1.1799024132386098
flip,2.458031305017188
right,0.826212880125561
forward,1.0299104702282496
cw,1.6910597041978717
back,0.9699128683197089
flip,1.6779328897678032
back,1.0268943415034724
back,0.9634890427350633
ccw,1.6491842857785075
back,0.9939101637833763
down,1.1104993969935266
forward,0.844290590139007
back,1.1838732921795916
ccw,1.5039528269968099
forward,0.8156152742559417
ccw,1.53388605370247
back,0.933084977479119
ccw,1.3226002722084487
back,0.9247840111541367
left,0.9593760956553667
back,1.1325462321984783
right,1.1843142172857042
down,1.094954335067523
ccw,1.6658656166379435
forward,1.1265833353665782
right,1.1674674773901816
right,0.9633714792283748
right,0.98936954298488
down,1.2240059255813314
flip,2.382799581058421
cw,1.4156422887782854
flip,1.8709377707131718
forward,0.8930648971411137
ccw,1.4241669518924924
ccw,1.4180870349038723
right,1.0801051698181119
ccw,1.4395296344497575
cw,1.5592197899388869
forward,1.1810631353363543
ccw,1.370416611700207
cw,1.3344530759415447
flip,2.175531619204018
left,1.1278745746927623
back,0.8324003616341615
ccw,1.5492488508129054
down,1.131959555143941
flip,2.1170744776305304
left,1.125025717331943
cw,1.5515931478746494
flip,1.9909166685400468
right,0.988332029540202
cw,1.634078525704756
right,0.9123069360612556
forward,1.1636780220631397
back,0.8821161472187263
flip,2.1163201941208447
left,0.9609258366005817
cw,1.6475046124780992
flip,1.563943692143487
right,0.8436356167783278
ccw,1.5805102947261271
ccw,1.6447138382188633
flip,2.492583811077615
cw,1.5615272348752036
down,1.3427374736500903
back,1.0384083639974728
ccw,1.6727802773579221
down,1.1345339008893132
back,1.0619471668782137
land,2
