Command,Battery Consumption (%)
takeoff,5
right,0.963880489907808
forward,1.1941485205225502
ccw,1.5068577604352724
forward,1.021769091035023
ccw,1.3246633094998397
right,0.9070963104977159
forward,1.1182354535158279
cw,1.349213773063163
left,0.9282536512606082
forward,0.8567005084529944
left,1.1859769534778934
down,1.207514252356626
left,0.860345438430921
ccw,1.6890152207807163
left,1.1837252489969523
right,0.8181263485834549
back,1.1415002745774183
ccw,1.5684903310900693
ccw,1.3731359965857697
flip,2.2937657648792253
flip,2.498296654766717
back,1.0425250405257271
forward,1.03532812507514
right,1.01407541279353
cw,1.4421356570986033
flip,2.28263397284677
back,0.8635651085291391
ccw,1.3781110058522796
flip,2.483553113334888
forward,0.961353630742143
down,1.1051344106989358
back,1.1412315272766116
flip,2.188249454643894
cw,1.3414147758619388
left,1.0503275210674872
flip,2.4537134828991567
left,1.1999091641399875
right,1.0442896926498868
cw,1.464152266048891
right,0.8920587403184274
cw,1.313369404420666
down,1.2965986854847182
down,1.3525407441869455
left,1.111597297139929
right,1.060342163858684
down,1.3486238565486937
right,0.9490270028073097
left,1.1402960668435984
forward,1.1892457115152428
right,1.0079174060834057
cw,1.310785528436935
down,1.3243993338545
right,1.0049403806605988
right,0.8097736198536389
flip,2.2996639958811254
cw,1.5180021247002173
right,1.017493162639199
back,1.0454155661059952
forward,1.0494111598092652
flip,1.8052615662738176
ccw,1.4595822893368169
left,0.9133834828383344
ccw,1.5269190240366783
forward,0.9237506026300101
forward,0.838955324637725
back,0.8838044266109052
ccw,1.652438917699025
ccw,1.674823082791573
down,1.030313436996875
cw,1.6969081516694353
left,1.1482366886906705
forward,0.8456720536203662
ccw,1.4760750989419424
forward,1.115785246803078
left,1.127717108840557
flip,1.7344465433933425
left,1.1346745938633909
land,2
